iela,m2,stāvi,ist,zempl,cena_tk,cena_smt,??
Zvaignžņu 1, 107,1,5,680 ,42,000 
Madaru 2, 150,2,5,1468,25,000
Ābelīte 192,130,2,5,2254,35,000
Ābelīte 158,114,2,4,700,14,700
Pureņu 3,150,2,4,802,84,350
Liepaine 97,130,2,4,1200,50,000
Kišupe,70,2,5,685,41,000
Koklīšu 12,296,2,5,1440,179,900
Tirgus 3,200,2,10,1200,150,000
Vesma 153,96,2,4,600,57,900
Ābelite 61,62,2,4,692,15,000
Gaisma 147,200,2,4,661,139,000
Saulainā ieleja 1,200,3,7,650,34,900
Jāņkalni,190,2,5,1200,68,000
Liepaine,103,2,3,600,38,000
Gobu 18,66,2,3,548,24,000
Ainažu 81,131,1,5,2390,191,000
Vēsma 29,95,2,3,860,45,000
Zvaigžņu 1,107,1,5,680,45,000
Alojas 26,100,2,4,610,43,000
Vēsma 83,120,2,4,600,27,000
Lilasti 42a,100,2,4,600,80,000
Rīta 13,200,3,6,600,57,000
Viršu 7,51,1,3,554,22,000
Aģes 10,70,1,3,1650,45,000
Vesma 171,80,2,5,570,32,000,
Saulainā ieleja 72,50,1,2,735,27,000
Celtnieku 1,225,2,6,1345,125,000
Pārupes 1,95,1,4,1268,125,000
Ziemeļblāzma 694,245,2,6,700,125,000
Aģes 25,145,2,7,3400,78,000
Saulīte 196,52,1,3,1420,22,500
Vītiņu 8,95,1,4,1268,132,000,
Bruklenaju 3,240,2,6,1800,125,000
Samteiņu 1,50,1,3,850,12,000
Rīgas 71,125,2,5,1780,132,000
Ķīšupe 1 16,102,2,5,734,59,000
Meža 6,238,2,5,2502,157,000
Strazdu 24 58,110,2,4,610,75,000
Rožu prospekts 222,88,2,4,620,40,000
Dravnieku,210,3,6,566,130,000
Gaismas,190,3,6,700,45,000
Ziemeļblāzma,150,2,5,640,40,000
Vēsma 236,55,1,3,670,41,500
Saulrīti 1,120,2,4,600,150,000
V/k Veselība 29,100,2,4,541,47,000
Stacijas 4,300,2,7,613,215,000
Devītā,310,3,4,600,69,000
Ezera 31,110,1,5,650,59,500
Ziemeļblāzma,145,2,5,730,133,000
D/s Banga 39,64,1,3,448,27,000